Keyword,Field,Action,Value
Garments,cartons,IGNORE_COLUMN,Total Garments Quantity
Karooni,cartons,PICK_COLUMN,CTN QTY
PCS,cartons,IGNORE_COLUMN,Total PCS
PL,cbm,LOOK_FOR_VALUE_UNDER_HEADER,CM*CM*CM
BKG,cbm,LOOK_FOR_VALUE_UNDER_HEADER,MEASUREMENT (CBM)
OBL,cbm,LOOK_FOR_VALUE_UNDER_HEADER,MEASUREMENT (CBM)
BKG,gross_weight,LOOK_FOR_VALUE_UNDER_HEADER,GROSS WEIGHT
OBL,gross_weight,LOOK_FOR_VALUE_UNDER_HEADER,GROSS WEIGHT
BKG,cartons,LOOK_FOR_VALUE_UNDER_HEADER,NUMBER OF PACKAGES
OBL,cartons,LOOK_FOR_VALUE_UNDER_HEADER,NUMBER OF PACKAGES